test case 0, Scramble time cost: 3331ms
FRLFUUDULBLDLRFUFFRFUBFDLBRULBUDLBBDURBBLRDRFFDRDBDRUL,1657ms,U' R2 L2 B2 R U R' L' U F L2 B2 R2 D2 B2 D2 F2 D L2 B2 U B2 (22 steps),77ms,3619ms,5354ms
test case 17, Scramble time cost: 3572ms
LUFLUFUBRURUURRLLRRDBDFBBFDLDFLDUFBDBFFLLRDBDLFUUBDBRR,1657ms,F2 R U F D' U2 R2 U2 L B F2 D' L2 D2 U R2 B2 F2 U2 B2 L2 F2 (22 steps),63ms,3316ms,5036ms
test case 18, Scramble time cost: 3312ms
FUBDUUDLLBRDURFBLRFFURFBLBUFRRDDBBUULLRBLFRRDLFUDBDFLD,1657ms,B2 F' R' F2 U2 R2 U2 L2 U L D' B2 D' U2 F2 U' R2 D L2 D' R2 U (22 steps),320ms,3197ms,5174ms
test case 19, Scramble time cost: 3124ms
DLBRULLFLDBRDRFLDUFUBRFLURUFFBRDBRBFFDDFLUBBLDURLBDRUU,1657ms,B' R2 L2 D' U2 B U2 R' U' L F' D B2 F2 R2 U L2 U2 B2 D' B2 D' (22 steps),192ms,3315ms,5165ms
test case 20, Scramble time cost: 3126ms
FRLDUDUULDBFFRDUDRRFBRFLUURLBBLDRFUDRFFFLBLBBUUDLBRBLD,1657ms,U2 F U' R' D' U2 L' B2 D' B R2 F2 D U2 B2 R2 D2 U B2 F2 L2 U (22 steps),130ms,3027ms,4814ms
test case 21, Scramble time cost: 2937ms
DBULUDDURFLRBRDULLLRURFURRBDDLUDBDLFBUFBLFBFFBRLFBDUFR,1657ms,L' U F2 D2 L' D2 B2 R' B F2 L2 F2 L2 U' B2 D U2 L2 B2 D2 F2 U2 (22 steps),684ms,3547ms,5888ms
test case 22, Scramble time cost: 3390ms
LFFUURBBFLFRLRLRDDRUUBFULUFBFDRDLFDBDRUDLRLDUULBBBFRBD,1657ms,B2 L2 U' B2 F' R F U2 B' U' R F2 D2 B2 F2 U L2 U R2 B2 D' B2 (22 steps),134ms,3611ms,5402ms
test case 23, Scramble time cost: 3602ms
LUFUUBUFDFLLDRRRDUBRRFFLRDUBRFUDBLLBDBRFLDFRDDFBBBLLUU,1657ms,B2 R B' R2 L2 B U R F' U2 R' B2 D2 F2 D2 F2 R2 D' R2 D2 B2 D2 B2 (23 steps),186ms,3597ms,5441ms
test case 24, Scramble time cost: 2982ms
DRLBUDBLULBFURLRDBLUBFFBDRULUFFDLRFRFLDRLRBDFUBRFBDDUU,1657ms,B2 R B L' U2 R2 B' F U2 R' F' L2 B2 L2 B2 D' U2 F2 R2 D2 F2 R2 D2 (23 steps),506ms,3779ms,5943ms
test case 25, Scramble time cost: 2946ms
DDUUUUDFULLRDRRLDRFRBLFFLBFFUURDBRUUBFRLLBDBDBLLDBFFRB,1657ms,B2 L' D U R2 L2 B' R2 U' L' F2 D2 U2 L2 F2 D F2 U F2 R2 F2 (21 steps),88ms,3109ms,4854ms
test case 26, Scramble time cost: 3006ms
LDFRUBRBRDLLFRBLFBBUFRFLDLFBUUFDRFDUBUDDLDRULDBURBFRLU,1657ms,B2 F' L D' U' F R B' R' U' B' F2 L2 B2 R2 D' U2 R2 F2 D2 U' F2 D2 (23 steps),232ms,3287ms,5177ms
test case 27, Scramble time cost: 2806ms
DLUDURLRBDFLLRDLFUFURDFULLBBDDUDUFLRFBDBLFRBUFBRRBRBFU,1657ms,L2 F2 D R2 B' D B U2 L F D' U2 L2 U R2 F2 L2 U2 B2 U' R2 (21 steps),238ms,3128ms,5024ms
test case 28, Scramble time cost: 3012ms
BBBDUFBLLFUDFRDLDFRUDUFRRBUFRBBDRUBDDLULLRLLULDRFBFRUF,1657ms,F2 L F' D U2 L B' R F' L D2 R2 D F2 L2 U' L2 D' U2 R2 U2 B2 (22 steps),38ms,3228ms,4924ms
test case 29, Scramble time cost: 3363ms
BBFDUFRFFRDUBRLRFRFLDLFDBFDLUBLDRFRBURURLBLDDLULUBBUUD,1657ms,F' L2 F2 R' B U' F R' D L' B2 D2 B2 D2 R2 U B2 U' R2 B2 D' B2 (22 steps),36ms,3228ms,4921ms
